scenario_id,title,topic,choice,votes,avg_time_s
79,Đại Học Đô Thị hay Nơi Chôn Nhau Cắt Rốn?,Kỳ vọng gia đình & tự chủ học sinh,B,2,42.0
80,Báo cáo hay giữ bí mật cho trò?,Áp lực thi cử & sức khỏe tâm thần,B,2,111.5
81,Thành tích trường và nỗi đau của Minh?,Áp lực thi cử & sức khỏe tâm thần,B,2,249.0
82,Trường chuyên: Rạng danh hay tổn thương?,Áp lực thi cử & sức khỏe tâm thần,B,2,148.5
83,Giữ bí mật hay nói với người lớn?,Áp lực thi cử & sức khỏe tâm thần,B,2,23.5
84,Giữ kín hay phá vỡ lời hứa?,Áp lực thi cử & sức khỏe tâm thần,B,4,81.0
85,Tin lời trò hay tin mắt mình?,Áp lực thi cử & sức khỏe tâm thần,B,2,27.0
86,Chuẩn bị thi hay vui Tết Đoàn viên?,Áp lực thi cử & sức khỏe tâm thần,A,4,31.0
87,Tiếp tục học online hay dừng lại?,Áp lực thi cử & sức khỏe tâm thần,A,2,18.0
88,Gia sư: Đẩy hay giữ chân trò?,Áp lực thi cử & sức khỏe tâm thần,B,5,52.0
89,Áp lực gia đình: Thi cử và lời cầu cứu,Gian lận học thuật,C,4,70.0
90,Thành tích lớp: Lựa chọn của cô chủ nhiệm,Gian lận học thuật,B,2,24.0
91,Tình nghĩa hay Nguyên tắc?,Đạo đức nghề giáo,C,2,108.0
92,Sự thật hay Giữ thể diện?,Đạo đức nghề giáo,A,4,96.0
93,Quỹ Phát Triển: Ưu Tiên Nhân Tài hay Bình Đẳng Hạ Tầng?,Kinh tế & bất bình đẳng giáo dục,A,2,39.0
94,Thầy Minh và Áp Lực Lớp Học Thêm: Công Bằng Hay Thu Nhập?,Kinh tế & bất bình đẳng giáo dục,B,3,64.0
95,Trường Hương Sơn: Tiền Tài Trợ và Đạo Đức Cộng Đồng,Kinh tế & bất bình đẳng giáo dục,A,3,87.0
96,Deepfake và Thể diện Gia đình,Công nghệ & mạng xã hội,B,4,24.0
97,AI trong Học tập: Trung Thực Hay Hiệu Quả?,Công nghệ & mạng xã hội,A,3,12.3
98,Gây Quỹ Trực Tuyến: Giúp Đỡ Hay Xâm Phạm?,Công nghệ & mạng xã hội,B,3,39.7
99,Dữ liệu học tập: Cải thiện hay Giám sát?,Quyền riêng tư & giám sát,B,3,56.5
100,Giám sát CLB: Tin tưởng hay Kiểm soát?,Quyền riêng tư & giám sát,A,2,108.0
